chain_name,factory_address,defi_name,defi_version_name
Ethereum,0x5C69bEe701ef814a2B6a3EDD4B1652CB9cc5aA6f,uniswap,uniswap-v2
Unichain,0x1f98400000000000000000000000000000000002,uniswap,uniswap-v2
Arbitrum,0xf1D7CC64Fb4452F05c498126312eBE29f30Fbcf9,uniswap,uniswap-v2
Avalanche,0x9e5A52f57b3038F1B8EeE45F28b3C1967e22799C,uniswap,uniswap-v2
BNB Chain,0x8909Dc15e40173Ff4699343b6eB8132c65e18eC6,uniswap,uniswap-v2
Base,0x8909Dc15e40173Ff4699343b6eB8132c65e18eC6,uniswap,uniswap-v2
Polygon,0x9e5A52f57b3038F1B8EeE45F28b3C1967e22799C,uniswap,uniswap-v2
World Chain,0x5C69bEe701ef814a2B6a3EDD4B1652CB9cc5aA6f,uniswap,uniswap-v2
Soneium,0x97FeBbC2AdBD5644ba22736E962564B23F5828CE,uniswap,uniswap-v2
Ethereum,0x1F98431c8aD98523631AE4a59f267346ea31F984,uniswap,uniswap-v3
Unichain,0x1f98400000000000000000000000000000000003,uniswap,uniswap-v3
Arbitrum,0x1F98431c8aD98523631AE4a59f267346ea31F984,uniswap,uniswap-v3
Avalanche,0x740b1c1de25031C31FF4fC9A62f554A55cdC1baD,uniswap,uniswap-v3
BNB Chain,0xdB1d10011AD0Ff90774D0C6Bb92e5C5c8b4461F7,uniswap,uniswap-v3
Base,0x33128a8fC17869897dcE68Ed026d694621f6FDfD,uniswap,uniswap-v3
Polygon,0x1F98431c8aD98523631AE4a59f267346ea31F984,uniswap,uniswap-v3
World Chain,0x7a5028BDa40e7B173C278C5342087826455ea25a,uniswap,uniswap-v3
Soneium,0x42ae7ec7ff020412639d443e245d936429fbe717,uniswap,uniswap-v3
Ethereum,0xC0AEe478e3658e2610c5F7A4A2E1777cE9e4f2Ac,sushiswap,sushiswap-v2
Polygon,0xc35dadb65012ec5796536bd9864ed8773abc74c4,sushiswap,sushiswap-v2
BNB Chain,0xC0AEe478e3658e2610c5F7A4A2E1777cE9e4f2Ac,sushiswap,sushiswap-v2
Avalanche,0xc35DADB65012eC5796536bD9864eD8773aBc74C4,sushiswap,sushiswap-v2
BNB Chain,0xcA143Ce32Fe78f1f7019d7d551a6402fC5350c73,pancakeswap,pancakeswap-v2
Ethereum,0x1097053Fd2ea711dad45caCcc45EfF7548fCB362,pancakeswap,pancakeswap-v2
Arbitrum,0x02a84c1b3BBD7401a5f7fa98a384EBC70bB5749E,pancakeswap,pancakeswap-v2
Base,0x02a84c1b3BBD7401a5f7fa98a384EBC70bB5749E,pancakeswap,pancakeswap-v2
BNB Chain,0x0BFbCF9fa4f9C56B0F40a671Ad40E0805A091865,pancakeswap,pancakeswap-v3
Ethereum,0x0BFbCF9fa4f9C56B0F40a671Ad40E0805A091865,pancakeswap,pancakeswap-v3
Arbitrum,0x0BFbCF9fa4f9C56B0F40a671Ad40E0805A091865,pancakeswap,pancakeswap-v3
Base,0x0BFbCF9fa4f9C56B0F40a671Ad40E0805A091865,pancakeswap,pancakeswap-v3
