id,revenue,gas_fee_base_raw,profit
4737,8783672,4019851,4763821
4738,24383437,11343251,13040186
4739,106836023,78588709,28247314
4740,82454112,38583031,43871081
4741,90854906,35731352,55123554
6393,23557334,18263167,5294167
7692,28147277,21680595,6466682
7693,28147277,21680595,6466682
7694,28147277,21680595,6466682
7695,17905117,19993516,-2088399
264,0,59397153,-59397153
250,0,53708062,-53708062
251,0,7777770,-7777770
252,0,7777770,-7777770
254,0,13776336,-13776336
262,0,5281477,-5281477
260,0,5281477,-5281477
258,0,13347455,-13347455
249,0,13347455,-13347455
263,0,13347455,-13347455
259,0,13347455,-13347455
255,0,77098228,-77098228
261,0,97614575,-97614575
256,0,27315853,-27315853
257,0,4833414,-4833414
253,0,8974695,-8974695
7690,0,15375601,-15375601
279,0,6040876,-6040876
290,0,6040876,-6040876
280,0,6040876,-6040876
7958,14912557,6938741,7973816
285,0,5274857,-5274857
286,0,11266790,-11266790
283,0,11266790,-11266790
281,0,4032986,-4032986
282,0,4032986,-4032986
287,0,4032986,-4032986
284,0,24498153,-24498153
293,0,24498153,-24498153
292,0,24498153,-24498153
248,0,3345258,-3345258
291,0,2888423,-2888423
278,0,5987612,-5987612
288,0,19298067,-19298067
289,0,19298067,-19298067
349,0,6889969,-6889969
308,0,6889969,-6889969
337,0,6889969,-6889969
309,0,6889969,-6889969
316,0,3746296,-3746296
326,0,3746296,-3746296
322,0,3746296,-3746296
325,0,3746296,-3746296
5520,0,5477305,-5477305
5521,0,5477305,-5477305
5522,0,5477305,-5477305
339,0,14726392,-14726392
334,0,28462312,-28462312
343,0,29820231,-29820231
312,0,29802080,-29802080
327,0,29802080,-29802080
305,0,29802080,-29802080
342,0,29822732,-29822732
330,0,27810560,-27810560
335,0,25627498,-25627498
344,0,25627498,-25627498
340,0,25627498,-25627498
306,0,25627498,-25627498
318,0,25627498,-25627498
313,0,14136935,-14136935
314,0,91358074,-91358074
345,0,23240513,-23240513
331,0,22781725,-22781725
347,0,22781725,-22781725
332,0,23855631,-23855631
348,2941506,23737572,-20796066
323,2941506,23737572,-20796066
